Unnamed: 0,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
34,Ohio,961616,8696516,0.110574855493855,251,1325,0.18943396226415102,246.0,0.9800796812749,5.0,0.0199203187251,6.0,,,16.0,,,29.0,,,32.0,,,58.0,,110.0,26.101895143175696,13.8851181010744
35,Oklahoma,333358,2668872,0.124905952777053,113,537,0.21042830540037197,,0.0,,0.0,4.0,,,7.0,,,14.0,,,18.0,,,25.0,,45.0,33.897491585622696,18.1544619300077
36,Oregon,350730,2839640,0.1235121353411,143,579,0.24697754749568201,136.0,0.951048951048951,7.0,0.048951048951049,2.0,,,6.0,,,12.0,,,32.0,,,25.0,,59.0,40.772103897585,17.517708555150598
37,Pennsylvania,1073558,9625288,0.11153515614286,309,1396,0.22134670487105998,305.0,0.9870550161812299,4.0,0.01294498381877,6.0,,,19.0,,,32.0,,,50.0,,,69.0,,133.0,28.782795154057805,12.7108783836721
38,Rhode Island,82129,827561,0.099242231086288,21,90,0.23333333333333303,,0.0,,0.0,,,,,,,,,,,,,,,,25.569530859988603,9.256377509953962
39,South Carolina,398128,3252620,0.12240224803389299,118,524,0.22519083969465603,114.0,0.966101694915254,4.0,0.033898305084746,5.0,,,15.0,,,12.0,,,17.0,,,22.0,,47.0,29.638709158863502,14.22319628151
40,South Dakota,73535,585507,0.12559200829366698,26,125,0.20800000000000002,,0.0,,0.0,,,,,,,,,,,,,,,,35.35731284422379,19.336994991913603
41,Tennessee,502295,4578718,0.10970210438817199,150,874,0.17162471395881002,147.0,0.98,3.0,0.02,1.0,,,9.0,,,18.0,,,36.0,,,34.0,,52.0,29.8629291551777,17.7606690964112
42,Texas,1660455,16924145,0.09811160327449302,454,2347,0.193438432040903,447.0,0.984581497797357,7.0,0.015418502202643,,31.0,,,38.0,,,64.0,,,92.0,,,229.0,,27.3419032735003,12.4019814343714
43,Utah,154774,1753636,0.08825890891838399,63,362,0.174033149171271,61.0,0.968253968253968,2.0,0.031746031746032,5.0,,,0.0,,,9.0,,,7.0,,,16.0,,22.0,40.7045110935945,18.700800944671897
44,Vermont,55512,489177,0.11348039666623701,16,81,0.19753086419753102,16.0,1.0,0.0,0.0,0.0,,,0.0,,,3.0,,,3.0,,,6.0,,4.0,28.822596915982103,14.988528011252901
45,Virginia,771782,5732436,0.134634211354475,178,876,0.20319634703196301,172.0,0.9662921348314608,6.0,0.033707865168539,5.0,,,5.0,,,19.0,,,39.0,,,33.0,,77.0,23.0635075707907,14.0707253519395
46,Washington,629296,4827071,0.130368084496789,200,809,0.24721878862793603,194.0,0.97,6.0,0.03,7.0,,,9.0,,,17.0,,,49.0,,,41.0,,77.0,31.7815463629198,14.507685619167301
47,West Virginia,178121,1426759,0.124843088426286,56,269,0.20817843866170999,56.0,1.0,0.0,0.0,0.0,,,3.0,,,3.0,,,13.0,,,13.0,,24.0,31.439302496617497,17.0585870364349
48,Wisconsin,447851,4237883,0.10567800007692502,138,670,0.20597014925373103,,0.0,,0.0,5.0,,,6.0,,,25.0,,,34.0,,,22.0,,46.0,30.8138197748805,14.0368207972914
49,Wyoming,54263,390268,0.139040351758279,22,116,0.18965517241379298,,0.0,,0.0,,,,,,,,,,,,,,,,40.5432799513481,27.975774170027197
0,Alabama,406762,3489439,0.116569454287638,130,592,0.219594594594595,,0.0,,0.0,,,,,,,,,,,,,,,,31.9597209178832,14.986973983975599
1,Alaska,74614,485178,0.153786857606899,30,149,0.201342281879195,29.0,0.966666666666667,1.0,0.03333333333333299,1.0,,,4.0,,,2.0,,,8.0,,,6.0,,9.0,40.2069316750208,28.984518856987
2,Arizona,555500,4649090,0.11948574882396301,224,1016,0.220472440944882,,0.0,,0.0,,,,,,,,,,,,,,,,40.3240324032403,19.3473210556016
3,Arkansas,251482,2127954,0.11818018622583,84,402,0.20895522388059698,82.0,0.9761904761904759,2.0,0.023809523809523996,,,9.0,,,,,,34.0,,,,18.0,,33.0,33.4019929855815,16.9466957140847
4,California,2079606,27033547,0.076926864240198,655,3602,0.181843420322043,634.0,0.9679389312977099,21.0,0.03206106870229,13.0,,,,,104.0,,,,,,248.0,,,290.0,31.496350751055697,11.809757825427301
5,Colorado,414228,3643412,0.11369233015645801,196,811,0.24167694204685602,185.0,0.9438775510204079,11.0,0.05612244897959201,6.0,,,11.0,,,30.0,,,39.0,,,43.0,,67.0,47.3169365663354,19.045059061360398
6,Connecticut,245359,2674817,0.09172926596473699,39,271,0.14391143911439097,,0.0,,0.0,,,,,,,,,,,,,,,,15.895076194474198,9.54945506363971
7,Delaware,78075,657092,0.11881897816439699,15,95,0.157894736842105,15.0,1.0,0.0,0.0,0.0,,,0.0,,,1.0,,,2.0,,,4.0,,8.0,19.2122958693564,13.8165200676319
8,Florida*,1709427,14155099,0.12076404410877001,595,2587,0.229996134518748,,0.0,,0.0,,,,,,,,,,,,,,,,34.8069850306565,16.0055640225775
9,Georgia,710726,6972297,0.101935703542176,211,997,0.211634904714142,,0.0,,0.0,5.0,,,16.0,,,24.0,,,39.0,,,39.0,,88.0,29.687952881982604,12.5527603216509
10,Hawaii,124261,960064,0.1294299130058,21,133,0.157894736842105,,0.0,,0.0,,,,,,,,,,,,,,,,16.8999122814077,13.400286909714401
11,Idaho,131795,1088296,0.121102163382021,48,223,0.2152466367713,48.0,1.0,0.0,0.0,1.0,,,4.0,,,,,13.0,,,,11.0,,19.0,36.4201980348268,18.2958512327745
12,Illinois,803229,9636981,0.083348613014802,183,1108,0.165162454873646,,0.0,,0.0,7.0,,,17.0,,,19.0,,,25.0,,,32.0,,83.0,22.7830419469417,10.4712018177554
13,Indiana,491684,4754575,0.103412818180384,101,790,0.12784810126582302,98.0,0.9702970297029699,3.0,0.02970297029703,,4.0,,,10.0,,,12.0,,,15.0,,,57.0,,20.5416487011983,16.162740262418197
14,Iowa,250852,2274820,0.11027334030824401,63,322,0.19565217391304396,,0.0,,0.0,,,,,,,,,,,,,,,,25.114410090411898,12.796645006245198
15,Kansas,231387,2067370,0.111923361565661,88,382,0.230366492146597,86.0,0.9772727272727271,2.0,0.022727272727273,4.0,,,1.0,,,9.0,,,20.0,,,17.0,,37.0,38.031522946405794,16.013220165981902
16,Kentucky,335093,3220471,0.104050929196382,44,649,0.067796610169492,,0.0,,0.0,,,,,,,,,,,,,,,,13.1306831237895,20.9677900087961
17,Louisiana,315184,3199922,0.098497400874146,91,522,0.174329501915709,,0.0,,0.0,,7.0,,,11.0,,,9.0,,,22.0,,,42.0,,28.8720239606071,14.9406982540529
18,Maine,142506,1034884,0.13770238983306302,39,191,0.20418848167539302,,0.0,,0.0,,,,,,,,,,,,,,,,27.367268746579104,17.0331406646063
19,Maryland,461184,4232439,0.10896412210548101,76,518,0.146718146718147,,0.0,,0.0,5.0,,,5.0,,,15.0,,,17.0,,,13.0,,21.0,16.4793227865668,11.7202363669389
20,Massachusetts,437588,5011861,0.087310482074423,50,516,0.096899224806202,47.0,0.94,3.0,0.06,0.0,,,3.0,,,3.0,,,3.0,,,18.0,,23.0,11.426273115350499,10.187411201736301
21,Michigan,749774,7616804,0.098436824683949,230,1131,0.203359858532272,224.0,0.9739130434782609,6.0,0.026086956521739,3.0,,,9.0,,,22.0,,,38.0,,,53.0,,105.0,30.6759103409828,13.120664974523198
22,Minnesota,405354,3935350,0.103003290685708,125,572,0.218531468531469,123.0,0.9840000000000001,2.0,0.016,5.0,,,6.0,,,11.0,,,19.0,,,34.0,,50.0,30.8372434958086,12.662903867313199
23,Mississippi,214698,2140780,0.100289614065901,83,396,0.20959595959596,80.0,0.9638554216867471,3.0,0.036144578313253004,6.0,,,8.0,,,10.0,,,9.0,,,18.0,,32.0,38.6589535067863,16.2506061528014
24,Missouri***,511821,4434377,0.115421174158174,180,808,0.22277227722772305,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,35.1685452531256,16.0099690100027
25,Montana,102649,735059,0.139647293618607,53,196,0.27040816326530603,52.0,0.981132075471698,1.0,0.018867924528301997,1.0,,,,,5.0,,,,,,22.0,,,25.0,51.6322613956298,22.611913157603503
26,Nebraska,149306,1320148,0.11309792538412401,15,181,0.08287292817679599,,0.0,,0.0,,,,,,,,,,,,,,,,10.0464817221009,14.1778309968382
27,Nevada,233596,1892386,0.123439932445072,104,471,0.220806794055202,,0.0,,0.0,3.0,,,2.0,,,7.0,,,20.0,,,28.0,,47.0,44.521310296409204,22.124560673744103
28,New Hampshire,122646,1016155,0.120696153637978,42,158,0.265822784810127,41.0,0.9761904761904759,1.0,0.023809523809523996,,,,,,,,,,,,,,,,34.2448999559708,12.9825217205423
29,New Jersey,497130,6615934,0.07514131791520301,80,596,0.134228187919463,79.0,0.9875,1.0,0.0125,2.0,,,4.0,,,11.0,,,11.0,,,18.0,,34.0,16.0923702049766,8.433020570686692
30,New Mexico,178400,1465336,0.121746821206877,96,401,0.239401496259352,89.0,0.927083333333333,7.0,0.072916666666667,6.0,,,4.0,,,10.0,,,20.0,,,18.0,,38.0,53.8116591928251,23.6997022384952
31,New York,1041376,14857620,0.070090364405605,205,1396,0.146848137535817,197.0,0.9609756097560981,8.0,0.039024390243902,3.0,,,3.0,,,12.0,,,51.0,,,36.0,,100.0,19.6854930399779,8.62028782931164
32,North Carolina,734260,6773333,0.108404532893924,229,1077,0.212627669452182,223.0,0.9737991266375551,6.0,0.026200873362444997,6.0,,,11.0,,,35.0,,,36.0,,,43.0,,98.0,31.187862609974697,14.0418902040098
33,North Dakota**,55232,491391,0.112399290992306,27,95,0.28421052631578997,26.0,0.962962962962963,1.0,0.037037037037037,4.0,,,6.0,,,3.0,,,3.0,,,5.0,,5.0,48.8847045191193,15.590644696085599
34,Ohio,953338,8703442,0.10953574459392,275,1295,0.21235521235521201,271.0,0.9854545454545459,4.0,0.014545454545453999,8.0,,,11.0,,,44.0,,,51.0,,,65.0,,96.0,28.846012641896202,13.1611137089257
35,Oklahoma,325423,2694837,0.12075795307842402,112,531,0.210922787193974,,0.0,,0.0,0.0,,,8.0,,,12.0,,,23.0,,,19.0,,50.0,34.4167437458324,17.6836973192528
36,Oregon,348422,2881297,0.120925402691913,157,594,0.264309764309764,155.0,0.987261146496815,2.0,0.012738853503184999,4.0,,,5.0,,,17.0,,,25.0,,,30.0,,74.0,45.0603004402707,17.2531214528944
37,Pennsylvania,1044143,9636871,0.10834875759984801,324,1441,0.224843858431645,320.0,0.987654320987654,4.0,0.012345679012346,9.0,,,18.0,,,41.0,,,55.0,,,72.0,,129.0,31.030232449003602,12.999364113469
38,Rhode Island,80703,820384,0.09837222568943302,16,96,0.166666666666667,,0.0,,0.0,,,,,,,,,,,,,,,,19.8257809499027,10.815473156671601
39,South Carolina,396961,3316277,0.119700797008211,123,530,0.23207547169811302,116.0,0.9430894308943092,7.0,0.056910569105691,2.0,,,8.0,,,16.0,,,27.0,,,28.0,,42.0,30.9854116651258,13.9416219415781
40,South Dakota,75167,597885,0.12572150162656698,21,102,0.20588235294117604,,0.0,,0.0,,,,,,,,,,,,,,,,27.937791850147,15.495927058184302
41,Tennessee,510068,4669784,0.10922732186328098,182,844,0.21563981042654,178.0,0.978021978021978,4.0,0.021978021978022,7.0,,,12.0,,,16.0,,,34.0,,,37.0,,76.0,35.6815169742074,15.9145480124124
42,Texas,1613252,17190551,0.093845275814603,434,2433,0.178380600082203,427.0,0.9838709677419358,7.0,0.016129032258064,,28.0,,,46.0,,,60.0,,,90.0,,,210.0,,26.902182672019,12.8327767220749
43,Utah,155573,1821224,0.085422221538921,68,378,0.17989417989418,67.0,0.9852941176470591,1.0,0.014705882352941001,5.0,,,5.0,,,5.0,,,16.0,,,16.0,,21.0,43.7093840190779,18.6113417516635
44,Vermont,55351,489141,0.11315960019708,19,89,0.213483146067416,18.0,0.9473684210526321,1.0,0.052631578947367995,0.0,,,1.0,,,1.0,,,5.0,,,4.0,,8.0,34.3263897671226,16.1368404066484
45,Virginia,757595,5779184,0.131090306174713,178,880,0.202272727272727,173.0,0.9719101123595509,5.0,0.028089887640449,3.0,,,10.0,,,15.0,,,33.0,,,38.0,,79.0,23.495403216758298,13.979638715952301
46,Washington,622263,4888868,0.127281612021433,229,865,0.264739884393064,223.0,0.9737991266375551,6.0,0.026200873362444997,6.0,,,11.0,,,35.0,,,36.0,,,43.0,,98.0,36.801159638288,14.906465445008399
47,West Virginia,171036,1423318,0.12016710250274401,67,300,0.22333333333333302,67.0,1.0,0.0,0.0,3.0,,,2.0,,,8.0,,,7.0,,,14.0,,33.0,39.1730395940036,18.606032826472003
48,Wisconsin,450802,4277566,0.10538750308002301,128,729,0.17558299039780498,,0.0,,0.0,4.0,,,7.0,,,19.0,,,29.0,,,27.0,,42.0,28.3938403112675,15.7051754432727
49,Wyoming,51494,393326,0.130919390022526,27,101,0.267326732673267,,0.0,,0.0,,,,,,,,,,,,,,,,52.433293199207704,21.648061035830498
0,Alabama,402072,3521323,0.114182084404072,138,604,0.228476821192053,,0.0,,0.0,,,,,,,,,,,,,,,,34.322210947293,14.9394838696854
1,Alaska,67833,486235,0.13950661717070997,27,169,0.159763313609467,27.0,1.0,0.0,0.0,3.0,,,1.0,,,3.0,,,4.0,,,10.0,,6.0,39.803635398699704,33.938652300897196
2,Arizona,551053,4768630,0.115557927538937,233,972,0.23971193415637898,,0.0,,0.0,,,,,,,,,,,,,,,,42.2826842427135,17.5219089064645
3,Arkansas,243494,2145844,0.113472367982015,96,447,0.21476510067114105,90.0,0.9375,6.0,0.0625,,,17.0,,,103.0,,,20.0,,,,23.0,,36.0,39.426022817810704,18.4508634057876
4,California,2034700,27233110,0.07471419900261099,727,3775,0.19258278145695398,712.0,0.979367262723521,15.0,0.020632737276479,21.0,,,,,,,,,,,267.0,,,336.0,35.730083058927605,12.0960012953198
5,Colorado,415094,3705758,0.11201325073035,188,803,0.23412204234122,179.0,0.952127659574468,9.0,0.047872340425532005,5.0,,,11.0,,,26.0,,,45.0,,,37.0,,64.0,45.290946147137795,18.6892371873883
6,Connecticut,237074,2684092,0.08832558645530801,46,315,0.146031746031746,,0.0,,0.0,,,,,,,,,,,,,,,,19.4032243097092,10.9929718539054
7,Delaware,75987,661193,0.114924084193269,23,109,0.211009174311927,23.0,1.0,0.0,0.0,1.0,,,1.0,,,1.0,,,4.0,,,5.0,,11.0,30.2683353731559,14.695679811895301
